Iteration,ID,Run_1
1,5044,36
2,24753,32
3,22729,\\text{(A)
4,5162,Error Parsing Response
5,9552,Error Parsing Response
6,23690,Error Parsing Response
7,3816,7
8,19593,\\text{(A) 15
9,26554,17
10,19577,25
11,7299,10
12,26373,4
13,16820,1
14,10903,-3
15,17396,\\$2000
16,3907,6
17,20408,8
18,19827,80
19,12446,\\frac{1
20,73654206395552430,9
21,11879,25
22,30595,Error Parsing Response
23,12832,137
24,2069,Error Parsing Response
25,22500,20
26,2078,100
27,15718,Error Parsing Response
28,7104,1.825
29,6095,Error Parsing Response
30,5797,Error Parsing Response
31,27910,3
32,4590,Error Parsing Response
33,11314,55
34,16690,20
35,new-question-001,11
36,20493,2.375
37,20286,100
38,9486,\\frac{1
39,11302,37
40,10031,\\$20
41,13040,-\\frac{2
42,27234,4
43,18064,2
44,4680,16
45,8325,\\$14/25
46,4325,14
47,1141,4
48,21132,40
49,18068,\\$80
50,23604,200
51,19942,15
52,6076,12
53,-5370763505243992549,3
54,24841,18.75
55,5072,Error Parsing Response
56,23285,\\$900
57,29527,57.3
58,25256,1
59,16105,3
60,4953,Error Parsing Response
61,12168,Error Parsing Response
62,29167,4
63,28215,Error Parsing Response
64,15581,4
65,20505,129
66,13772,\\frac{3
67,11271,12
68,21810,\\text{toonie
69,6858,3
70,6438,Error Parsing Response
71,14050,Error Parsing Response
72,13419,4
73,19411,2
74,11868,12
75,16160,12
76,28339,Error Parsing Response
77,18063,Error Parsing Response
78,24735,Error Parsing Response
79,21821,9
80,4085,Error Parsing Response
81,3441,0.4
82,20946,\\$170
83,3259,10
84,6160,6
85,12353,1540
86,1603,Error Parsing Response
87,14270,2197
88,7337858302396324630,Error Parsing Response
89,2950,900
90,5387,19
91,11817,9
92,13511,Error Parsing Response
93,12754,44
94,21040,Error Parsing Response
95,23826,\\$18
96,11569,Error Parsing Response
97,26684,\\$552
98,21997,61
99,28029,\\$350
100,8234,Error Parsing Response
101,28686,7
102,9709,1
103,24628,Error Parsing Response
104,9977,2
105,11329,Error Parsing Response
106,9093,11300
107,25379,14
108,23636,12
109,26687,Error Parsing Response
110,3401,Error Parsing Response
111,9942,Error Parsing Response
112,27236,Error Parsing Response
113,27756,\\$67
114,12862,50
115,21983,Error Parsing Response
116,30389,"300,000h"
117,27809,\\text{Taehyung
118,2075,Error Parsing Response
119,29565,12
120,1093,32
121,30648,14
122,6940,Error Parsing Response
123,30754,23
124,19959,Error Parsing Response
125,26127,0.25
126,8341,Error Parsing Response
127,8340,Error Parsing Response
128,12072,Error Parsing Response
129,16126,2
130,3265,846
131,23315,Error Parsing Response
132,1642,Error Parsing Response
133,787938616620016405,\\text{B
134,2116,36
135,20513,15
136,13311,Error Parsing Response
137,4994,120
138,18760,\\frac{18
139,22843,10
140,1995,"\\frac{5"""
141,30140,Error Parsing Response
142,8683,39500
143,9373,Error Parsing Response
144,816,Error Parsing Response
145,285,Error Parsing Response
146,14318,Error Parsing Response
147,4444,13
148,17506,Error Parsing Response
149,21795,Error Parsing Response
150,26807,\\$3.75
151,20826,2
152,976,13
153,7897,Error Parsing Response
154,1178,Error Parsing Response
155,420,Error Parsing Response
156,1545,8
157,27450,107
158,19759,Error Parsing Response
159,16579,Error Parsing Response
160,16128,0
161,20579,"29"""
162,26503,107.5
163,28651,430
164,16351,2900
165,23597,Error Parsing Response
166,23894,\\text{Jungkook
167,5302,Error Parsing Response
168,11190,\\$1000
169,10640,13.5
170,18920,Error Parsing Response
171,2919,Error Parsing Response
172,12045,5
173,10525,\\frac{3
174,17732,14
175,16642,50
176,29165,Error Parsing Response
177,13142,828
178,11476,Error Parsing Response
179,6165,Error Parsing Response
180,795,\\text{Dohoon
181,5048,Error Parsing Response
182,5833,5624
183,11462,6
184,5006,Error Parsing Response
185,8029,1-b-p
186,13942,3
187,22213,"\\$"""
188,18756,30
189,3986,\\text{green
190,22874,3
191,27628,6
192,10660,10
193,27209,Error Parsing Response
194,7505,8
195,10684,25
196,7752856369359095066,57
197,21907,1600
198,20499,1933
199,13274,9000
200,29399,1000
201,19252,1
202,16203,Error Parsing Response
203,1353,Error Parsing Response
204,24891,Error Parsing Response
205,7738,3
206,16850,45
207,19452,\\frac{7
208,10751,\\$7.5
209,22573,Error Parsing Response
210,20489,8
211,26268,Error Parsing Response
212,7970,0.502
213,719,Error Parsing Response
214,29039,Error Parsing Response
215,5004,Error Parsing Response
216,16311,1
217,26764,Error Parsing Response
218,-6971861748546774052,360
219,14364,\\$2400
220,25209,Error Parsing Response
221,22670,0
222,24798,40
223,13162,Error Parsing Response
224,25145,Error Parsing Response
225,8116,\\$55
226,12931,Error Parsing Response
227,7146,3'
228,4811,5
229,17612,Error Parsing Response
230,11502,Error Parsing Response
231,14948,Error Parsing Response
232,28383,Error Parsing Response
233,12038,5200
234,3661,Error Parsing Response
235,2041,27
236,6577,\\frac{1
237,20327,24
238,5603,36
239,2097,\\frac{3
240,15550,Error Parsing Response
241,7810,161.5
242,11390,Error Parsing Response
243,26369,1500
244,28772,15
245,18368,60
246,16555,27.5
247,9088,\\frac{36
248,30292,7
249,3293,Error Parsing Response
250,109,Error Parsing Response
251,21628,1279'
252,25096,6
253,25927,6
254,7419,Error Parsing Response
255,25517,Error Parsing Response
256,11480,Error Parsing Response
257,1803,Error Parsing Response
258,30431,\\$600
259,23915,60
260,14384,\\$12
261,15031,120
262,13437,180
263,7600,2
264,20373,2
265,21719,2
266,15625,17.6
267,27620,3.75
