{'Iteration': 0, 'Final Solution': None}
{'Iteration': 1, 'Final Solution': '10'}
{'Iteration': 2, 'Final Solution': None}
{'Iteration': 3, 'Final Solution': None}
{'Iteration': 4, 'Final Solution': None}
{'Iteration': 5, 'Final Solution': '406'}
{'Iteration': 6, 'Final Solution': None}
{'Iteration': 7, 'Final Solution': None}
{'Iteration': 8, 'Final Solution': None}
{'Iteration': 9, 'Final Solution': None}
{'Iteration': 10, 'Final Solution': '\\frac{x+2'}
{'Iteration': 11, 'Final Solution': None}
{'Iteration': 12, 'Final Solution': '10'}
{'Iteration': 13, 'Final Solution': '(1,7)'}
{'Iteration': 14, 'Final Solution': None}
{'Iteration': 15, 'Final Solution': '\\frac{67'}
{'Iteration': 16, 'Final Solution': '33'}
{'Iteration': 17, 'Final Solution': '15'}
{'Iteration': 18, 'Final Solution': None}
{'Iteration': 19, 'Final Solution': None}
{'Iteration': 20, 'Final Solution': '18'}
{'Iteration': 21, 'Final Solution': '\\$6.25'}
{'Iteration': 22, 'Final Solution': None}
{'Iteration': 23, 'Final Solution': '4.42'}
{'Iteration': 24, 'Final Solution': '625'}
{'Iteration': 25, 'Final Solution': '[0,1]'}
{'Iteration': 26, 'Final Solution': None}
{'Iteration': 27, 'Final Solution': None}
{'Iteration': 28, 'Final Solution': '4'}
{'Iteration': 29, 'Final Solution': '-144'}
{'Iteration': 30, 'Final Solution': None}
{'Iteration': 31, 'Final Solution': '5'}
{'Iteration': 32, 'Final Solution': None}
{'Iteration': 33, 'Final Solution': None}
{'Iteration': 34, 'Final Solution': '\\frac{3'}
{'Iteration': 35, 'Final Solution': '2'}
{'Iteration': 36, 'Final Solution': None}
{'Iteration': 37, 'Final Solution': '8'}
{'Iteration': 38, 'Final Solution': '-2'}
{'Iteration': 39, 'Final Solution': None}
{'Iteration': 40, 'Final Solution': None}
{'Iteration': 41, 'Final Solution': '0'}
{'Iteration': 42, 'Final Solution': '2'}
{'Iteration': 43, 'Final Solution': None}
{'Iteration': 44, 'Final Solution': None}
{'Iteration': 45, 'Final Solution': '6+9i'}
{'Iteration': 46, 'Final Solution': None}
{'Iteration': 47, 'Final Solution': '10 + 10i'}
{'Iteration': 48, 'Final Solution': '3(x-3)(x-7)'}
{'Iteration': 49, 'Final Solution': 'y^4 -2y^3 + 8y^2 + y -5'}
{'Iteration': 50, 'Final Solution': None}
{'Iteration': 51, 'Final Solution': None}
{'Iteration': 52, 'Final Solution': '983'}
{'Iteration': 53, 'Final Solution': '\\frac{5'}
{'Iteration': 54, 'Final Solution': None}
{'Iteration': 55, 'Final Solution': '4'}
{'Iteration': 56, 'Final Solution': '(-\\frac{1'}
{'Iteration': 57, 'Final Solution': None}
{'Iteration': 58, 'Final Solution': '4'}
{'Iteration': 59, 'Final Solution': '20'}
{'Iteration': 60, 'Final Solution': None}
{'Iteration': 61, 'Final Solution': 'x \\sqrt[3]{x'}
{'Iteration': 62, 'Final Solution': None}
{'Iteration': 63, 'Final Solution': '\\frac{18'}
{'Iteration': 64, 'Final Solution': '4'}
{'Iteration': 65, 'Final Solution': None}
{'Iteration': 66, 'Final Solution': '81'}
{'Iteration': 67, 'Final Solution': '(1,4)'}
{'Iteration': 68, 'Final Solution': None}
{'Iteration': 69, 'Final Solution': '-2'}
{'Iteration': 70, 'Final Solution': '1'}
{'Iteration': 71, 'Final Solution': None}
{'Iteration': 72, 'Final Solution': '24'}
{'Iteration': 73, 'Final Solution': None}
{'Iteration': 74, 'Final Solution': '\\frac{5'}
{'Iteration': 75, 'Final Solution': None}
{'Iteration': 76, 'Final Solution': None}
{'Iteration': 77, 'Final Solution': None}
{'Iteration': 78, 'Final Solution': None}
{'Iteration': 79, 'Final Solution': '9'}
{'Iteration': 80, 'Final Solution': None}
{'Iteration': 81, 'Final Solution': None}
{'Iteration': 82, 'Final Solution': None}
{'Iteration': 83, 'Final Solution': None}
{'Iteration': 84, 'Final Solution': '27'}
{'Iteration': 85, 'Final Solution': '27'}
{'Iteration': 86, 'Final Solution': '0'}
{'Iteration': 87, 'Final Solution': '5'}
{'Iteration': 88, 'Final Solution': None}
{'Iteration': 89, 'Final Solution': '10'}
{'Iteration': 90, 'Final Solution': None}
{'Iteration': 91, 'Final Solution': None}
{'Iteration': 92, 'Final Solution': '1'}
{'Iteration': 93, 'Final Solution': None}
{'Iteration': 94, 'Final Solution': None}
{'Iteration': 95, 'Final Solution': None}
{'Iteration': 96, 'Final Solution': '\\frac{5'}
{'Iteration': 97, 'Final Solution': None}
{'Iteration': 98, 'Final Solution': None}
{'Iteration': 99, 'Final Solution': '\\frac{8'}
{'Iteration': 100, 'Final Solution': '1'}
{'Iteration': 101, 'Final Solution': '-25'}
{'Iteration': 102, 'Final Solution': '6'}
{'Iteration': 103, 'Final Solution': None}
{'Iteration': 104, 'Final Solution': '140'}
{'Iteration': 105, 'Final Solution': None}
{'Iteration': 106, 'Final Solution': None}
{'Iteration': 107, 'Final Solution': None}
{'Iteration': 108, 'Final Solution': '6'}
{'Iteration': 109, 'Final Solution': None}
{'Iteration': 110, 'Final Solution': '\\frac{\\sqrt7'}
{'Iteration': 111, 'Final Solution': '-6'}
{'Iteration': 112, 'Final Solution': '15'}
{'Iteration': 113, 'Final Solution': '\\frac{6333'}
{'Iteration': 114, 'Final Solution': '-1'}
{'Iteration': 115, 'Final Solution': None}
{'Iteration': 116, 'Final Solution': None}
{'Iteration': 117, 'Final Solution': None}
{'Iteration': 118, 'Final Solution': '-8'}
{'Iteration': 119, 'Final Solution': '2p'}
{'Iteration': 120, 'Final Solution': '6'}
{'Iteration': 121, 'Final Solution': '13'}
{'Iteration': 122, 'Final Solution': '(15,-11)'}
{'Iteration': 123, 'Final Solution': '\\frac{5'}
{'Iteration': 124, 'Final Solution': '8'}
{'Iteration': 125, 'Final Solution': None}
{'Iteration': 126, 'Final Solution': '29'}
{'Iteration': 127, 'Final Solution': '\\frac{\\log 8'}
{'Iteration': 128, 'Final Solution': None}
{'Iteration': 129, 'Final Solution': None}
{'Iteration': 130, 'Final Solution': '-1'}
{'Iteration': 131, 'Final Solution': '-3'}
{'Iteration': 132, 'Final Solution': '10'}
{'Iteration': 133, 'Final Solution': None}
{'Iteration': 134, 'Final Solution': None}
{'Iteration': 135, 'Final Solution': None}
{'Iteration': 136, 'Final Solution': '11'}
{'Iteration': 137, 'Final Solution': '0'}
{'Iteration': 138, 'Final Solution': None}
{'Iteration': 139, 'Final Solution': None}
{'Iteration': 140, 'Final Solution': '7474'}
{'Iteration': 141, 'Final Solution': '0'}
{'Iteration': 142, 'Final Solution': '-\\frac{1'}
{'Iteration': 143, 'Final Solution': None}
{'Iteration': 144, 'Final Solution': None}
{'Iteration': 145, 'Final Solution': '3'}
{'Iteration': 146, 'Final Solution': None}
{'Iteration': 147, 'Final Solution': None}
{'Iteration': 148, 'Final Solution': '8'}
{'Iteration': 149, 'Final Solution': '4'}
{'Iteration': 150, 'Final Solution': None}
{'Iteration': 151, 'Final Solution': None}
{'Iteration': 152, 'Final Solution': '5'}
{'Iteration': 153, 'Final Solution': None}
{'Iteration': 154, 'Final Solution': None}
{'Iteration': 155, 'Final Solution': None}
{'Iteration': 156, 'Final Solution': '36'}
{'Iteration': 157, 'Final Solution': '-\\frac{1'}
{'Iteration': 158, 'Final Solution': None}
{'Iteration': 159, 'Final Solution': '4'}
{'Iteration': 160, 'Final Solution': None}
{'Iteration': 161, 'Final Solution': '51'}
{'Iteration': 162, 'Final Solution': None}
{'Iteration': 163, 'Final Solution': None}
{'Iteration': 164, 'Final Solution': '-20 + 15i'}
{'Iteration': 165, 'Final Solution': None}
{'Iteration': 166, 'Final Solution': '256'}
{'Iteration': 167, 'Final Solution': '48'}
{'Iteration': 168, 'Final Solution': None}
{'Iteration': 169, 'Final Solution': '(-\\infty, -\\frac{15'}
{'Iteration': 170, 'Final Solution': '36'}
{'Iteration': 171, 'Final Solution': None}
{'Iteration': 172, 'Final Solution': '9'}
{'Iteration': 173, 'Final Solution': '12'}
{'Iteration': 174, 'Final Solution': '0'}
{'Iteration': 175, 'Final Solution': '540'}
{'Iteration': 176, 'Final Solution': None}
{'Iteration': 177, 'Final Solution': '3'}
{'Iteration': 178, 'Final Solution': '-2'}
{'Iteration': 179, 'Final Solution': '1'}
{'Iteration': 180, 'Final Solution': None}
{'Iteration': 181, 'Final Solution': None}
{'Iteration': 182, 'Final Solution': '5'}
{'Iteration': 183, 'Final Solution': None}
{'Iteration': 184, 'Final Solution': None}
{'Iteration': 185, 'Final Solution': '-\\dfrac{8'}
{'Iteration': 186, 'Final Solution': None}
{'Iteration': 187, 'Final Solution': '47'}
{'Iteration': 188, 'Final Solution': '\\frac{3'}
{'Iteration': 189, 'Final Solution': None}
